TestParameter ,Measurement.Type ,reservoirComputing
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU ,SMU ,SMU
TestParameter ,Channel.Unit ,SMU1:MP ,SMU2:MP ,SMU3:MP ,SMU4:MP
TestParameter ,Channel.IName ,I1 ,I2 ,I3 ,I4
TestParameter ,Channel.VName ,V1 ,V2 ,V3 ,V4
TestParameter ,Channel.Mode ,V ,V ,V ,V
TestParameter ,Channel.Func ,VAR1 ,VAR1 ,VAR1 ,VAR1
TestParameter ,Channel.Index , , , ,
TestParameter ,Channel.Time , , , ,
TestParameter ,Measurement.Port.SeriesResistance ,ON ,ON ,ON ,ON
TestParameter ,Measurement.Port.Filter ,0 ,0 ,0 ,0
TestParameter ,Measurement.Adc.HighSpeed.Mode ,AUTO
TestParameter ,Measurement.Adc.HighSpeed.Coeff ,  1
TestParameter ,Measurement.Adc.HighResolution.AutoZero ,  ON
TestParameter ,Measurement.Adc.HighResolution.Mode ,AUTO
TestParameter ,Measurement.Adc.HighResolution.Coeff ,  6
Measurement ,Device ,CMOR5
Measurement ,Time ,2019-02-08_14-43-27
DataName ,  Ignd ,  Ivlow ,  Ivhigh ,  Vout
Dimension ,  56 ,  56 ,  56 ,  56
DataValue ,  -0.00052345 ,  0.00052425 ,  6.3555e-08 ,  0.0265
DataValue ,  -0.00051995 ,  0.0005202 ,  6.361e-08 ,  0.026
DataValue ,  -0.0005223 ,  0.0005226 ,  6.358e-08 ,  1.153
DataValue ,  -0.0005229 ,  0.0005222 ,  6.365e-08 ,  1.1514
DataValue ,  -0.00052155 ,  0.0005213 ,  6.3695e-08 ,  1.1492
DataValue ,  -0.00052245 ,  0.0005216 ,  6.388e-08 ,  1.15
DataValue ,  -0.00052415 ,  0.0005233 ,  6.398e-08 ,  1.1503
DataValue ,  -0.0005209 ,  0.00052075 ,  6.412e-08 ,  0.0258
DataValue ,  -0.0005247 ,  0.0005254 ,  6.393e-08 ,  1.1569
DataValue ,  -0.0005195 ,  0.0005195 ,  6.3775e-08 ,  0.0265
DataValue ,  -0.0005227 ,  0.00052215 ,  6.3995e-08 ,  1.1477
DataValue ,  -0.00052025 ,  0.00052025 ,  6.4145e-08 ,  0.03
DataValue ,  -0.0005195 ,  0.0005188 ,  6.409e-08 ,  0.0265
DataValue ,  -0.0005198 ,  0.0005195 ,  6.3965e-08 ,  0.0275
DataValue ,  -0.00052545 ,  0.00052555 ,  6.3965e-08 ,  1.1515
DataValue ,  -0.0005205 ,  0.0005198 ,  6.409e-08 ,  0.0274
DataValue ,  -0.00052415 ,  0.00052375 ,  6.4135e-08 ,  0.0285
DataValue ,  -0.00052235 ,  0.000522 ,  6.4025e-08 ,  1.1514
DataValue ,  -0.00052045 ,  0.0005204 ,  6.406e-08 ,  0.0268
DataValue ,  -0.00051975 ,  0.0005198 ,  6.403e-08 ,  0.0295
DataValue ,  -0.00052215 ,  0.0005229 ,  6.4095e-08 ,  1.148
DataValue ,  -0.0005193 ,  0.0005192 ,  6.4105e-08 ,  0.0283
DataValue ,  -0.00052145 ,  0.00052115 ,  6.412e-08 ,  0.0276
DataValue ,  -0.0005224 ,  0.0005222 ,  6.424e-08 ,  1.1484
DataValue ,  -0.00052655 ,  0.0005254 ,  6.411e-08 ,  1.1532
DataValue ,  -0.0005205 ,  0.0005203 ,  6.422e-08 ,  0.0274
DataValue ,  -0.0005198 ,  0.000519 ,  6.433e-08 ,  0.0283
DataValue ,  -0.00052095 ,  0.0005214 ,  6.4625e-08 ,  0.0287
DataValue ,  -0.0005192 ,  0.00051855 ,  6.471e-08 ,  0.0283
DataValue ,  -0.000519 ,  0.0005192 ,  6.461e-08 ,  0.028
DataValue ,  -0.0005219 ,  0.0005216 ,  6.462e-08 ,  0.0285
DataValue ,  -0.00051835 ,  0.0005183 ,  6.468e-08 ,  0.0282
DataValue ,  -0.0005219 ,  0.00052155 ,  6.465e-08 ,  0.0267
DataValue ,  -0.0005194 ,  0.0005191 ,  6.4845e-08 ,  0.0276
DataValue ,  -0.00052315 ,  0.0005221 ,  6.476e-08 ,  1.1484
DataValue ,  -0.00052365 ,  0.0005238 ,  6.488e-08 ,  1.1487
DataValue ,  -0.0005236 ,  0.0005231 ,  6.513e-08 ,  1.1487
DataValue ,  -0.00052035 ,  0.0005209 ,  6.492e-08 ,  1.1488
DataValue ,  -0.0005239 ,  0.0005231 ,  6.5375e-08 ,  1.1496
DataValue ,  -0.00051905 ,  0.0005186 ,  6.5065e-08 ,  0.0276
DataValue ,  -0.0005226 ,  0.0005222 ,  6.5205e-08 ,  1.1527
DataValue ,  -0.0005195 ,  0.00051875 ,  6.521e-08 ,  0.0271
DataValue ,  -0.00052365 ,  0.0005235 ,  6.4735e-08 ,  1.1492
DataValue ,  -0.0005199 ,  0.0005204 ,  6.4835e-08 ,  0.0307
DataValue ,  -0.00051705 ,  0.00051755 ,  6.492e-08 ,  0.0284
DataValue ,  -0.00051925 ,  0.0005187 ,  6.486e-08 ,  0.0271
DataValue ,  -0.000523 ,  0.00052225 ,  6.4905e-08 ,  1.1516
DataValue ,  -0.0005198 ,  0.00051965 ,  6.496e-08 ,  0.0278
DataValue ,  -0.00052455 ,  0.00052445 ,  6.508e-08 ,  0.0276
