TestParameter ,Measurement.Type ,reservoirComputing
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU ,SMU ,SMU
TestParameter ,Channel.Unit ,SMU1:MP ,SMU2:MP ,SMU3:MP ,SMU4:MP
TestParameter ,Channel.IName ,I1 ,I2 ,I3 ,I4
TestParameter ,Channel.VName ,V1 ,V2 ,V3 ,V4
TestParameter ,Channel.Mode ,V ,V ,V ,V
TestParameter ,Channel.Func ,VAR1 ,VAR1 ,VAR1 ,VAR1
TestParameter ,Channel.Index , , , ,
TestParameter ,Channel.Time , , , ,
TestParameter ,Measurement.Port.SeriesResistance ,ON ,ON ,ON ,ON
TestParameter ,Measurement.Port.Filter ,0 ,0 ,0 ,0
TestParameter ,Measurement.Adc.HighSpeed.Mode ,AUTO
TestParameter ,Measurement.Adc.HighSpeed.Coeff ,  1
TestParameter ,Measurement.Adc.HighResolution.AutoZero ,  ON
TestParameter ,Measurement.Adc.HighResolution.Mode ,AUTO
TestParameter ,Measurement.Adc.HighResolution.Coeff ,  6
Measurement ,Device ,ReservoirComp_2
Measurement ,Time ,2019-02-07_16-17-25
DataName ,  Ignd ,  Ivlow ,  Ivhigh ,  Vout
Dimension ,  56 ,  56 ,  56 ,  56
DataValue ,  -0.0005598 ,  0.00055945 ,  3.1485e-07 ,  1.1562
DataValue ,  -0.0005612 ,  0.0005603 ,  3.158e-07 ,  1.1536
DataValue ,  -0.00055665 ,  0.00055505 ,  3.1705e-07 ,  0.0255
DataValue ,  -0.0005566 ,  0.0005564 ,  3.1705e-07 ,  0.0278
DataValue ,  -0.0005584 ,  0.0005581 ,  3.172e-07 ,  0.0274
DataValue ,  -0.00055625 ,  0.00055535 ,  3.1635e-07 ,  0.0262
DataValue ,  -0.0005577 ,  0.00055765 ,  3.2035e-07 ,  0.0257
DataValue ,  -0.00055705 ,  0.00055605 ,  3.2e-07 ,  0.026
DataValue ,  -0.0005626 ,  0.0005627 ,  3.194e-07 ,  1.1566
DataValue ,  -0.0005575 ,  0.00055605 ,  3.2025e-07 ,  0.0256
DataValue ,  -0.00056005 ,  0.0005596 ,  3.2035e-07 ,  1.1506
DataValue ,  -0.00055525 ,  0.00055495 ,  3.195e-07 ,  0.0275
DataValue ,  -0.00055845 ,  0.0005573 ,  3.202e-07 ,  0.0277
DataValue ,  -0.0005578 ,  0.0005572 ,  3.1985e-07 ,  0.0275
