TestParameter ,Measurement.Type ,reservoirComputing
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU ,SMU ,SMU
TestParameter ,Channel.Unit ,SMU1:MP ,SMU2:MP ,SMU3:MP ,SMU4:MP
TestParameter ,Channel.IName ,I1 ,I2 ,I3 ,I4
TestParameter ,Channel.VName ,V1 ,V2 ,V3 ,V4
TestParameter ,Channel.Mode ,V ,V ,V ,V
TestParameter ,Channel.Func ,VAR1 ,VAR1 ,VAR1 ,VAR1
TestParameter ,Channel.Index , , , ,
TestParameter ,Channel.Time , , , ,
TestParameter ,Measurement.Port.SeriesResistance ,ON ,ON ,ON ,ON
TestParameter ,Measurement.Port.Filter ,0 ,0 ,0 ,0
TestParameter ,Measurement.Adc.HighSpeed.Mode ,AUTO
TestParameter ,Measurement.Adc.HighSpeed.Coeff ,  1
TestParameter ,Measurement.Adc.HighResolution.AutoZero ,  ON
TestParameter ,Measurement.Adc.HighResolution.Mode ,AUTO
TestParameter ,Measurement.Adc.HighResolution.Coeff ,  6
Measurement ,Device ,CMOR6
Measurement ,Time ,2019-02-08_14-43-27
DataName ,  Ignd ,  Ivlow ,  Ivhigh ,  Vout
Dimension ,  56 ,  56 ,  56 ,  56
DataValue ,  -0.00051915 ,  0.00051925 ,  6.766e-08 ,  0.0248
DataValue ,  -0.0005165 ,  0.00051575 ,  6.819e-08 ,  1.1668
DataValue ,  -0.00051705 ,  0.00051675 ,  6.795e-08 ,  1.1666
DataValue ,  -0.00051525 ,  0.00051505 ,  6.792e-08 ,  1.1642
DataValue ,  -0.0005147 ,  0.00051435 ,  6.8415e-08 ,  1.1629
DataValue ,  -0.00051435 ,  0.0005142 ,  6.8385e-08 ,  1.1632
DataValue ,  -0.000515 ,  0.0005154 ,  6.8465e-08 ,  1.1665
DataValue ,  -0.00051765 ,  0.0005181 ,  6.861e-08 ,  0.0263
DataValue ,  -0.0005204 ,  0.00052015 ,  6.8835e-08 ,  0.0249
DataValue ,  -0.00051685 ,  0.0005173 ,  6.854e-08 ,  1.1663
DataValue ,  -0.00051725 ,  0.0005163 ,  6.878e-08 ,  1.1626
DataValue ,  -0.00051555 ,  0.0005149 ,  6.853e-08 ,  1.1603
DataValue ,  -0.0005157 ,  0.0005154 ,  6.868e-08 ,  1.1621
DataValue ,  -0.00051585 ,  0.00051485 ,  6.863e-08 ,  1.1635
DataValue ,  -0.00051565 ,  0.0005153 ,  6.867e-08 ,  0.0273
DataValue ,  -0.00051525 ,  0.00051515 ,  6.8705e-08 ,  1.1634
DataValue ,  -0.000519 ,  0.00051845 ,  6.88e-08 ,  0.0269
DataValue ,  -0.0005158 ,  0.0005164 ,  6.8655e-08 ,  1.165
DataValue ,  -0.00051515 ,  0.00051575 ,  6.8675e-08 ,  1.1638
DataValue ,  -0.00051725 ,  0.0005168 ,  6.8625e-08 ,  1.1611
DataValue ,  -0.00051535 ,  0.00051555 ,  6.8885e-08 ,  1.1618
DataValue ,  -0.0005167 ,  0.0005159 ,  6.8635e-08 ,  0.0269
DataValue ,  -0.0005164 ,  0.00051625 ,  6.8775e-08 ,  0.026
DataValue ,  -0.0005165 ,  0.0005167 ,  6.867e-08 ,  0.0266
DataValue ,  -0.0005175 ,  0.00051725 ,  6.8825e-08 ,  0.0262
DataValue ,  -0.00051725 ,  0.0005165 ,  6.8685e-08 ,  1.1644
DataValue ,  -0.0005161 ,  0.00051585 ,  6.876e-08 ,  1.1638
DataValue ,  -0.0005168 ,  0.0005154 ,  6.8925e-08 ,  1.1608
DataValue ,  -0.0005185 ,  0.0005176 ,  6.902e-08 ,  0.0278
DataValue ,  -0.0005142 ,  0.0005139 ,  6.89e-08 ,  1.1604
DataValue ,  -0.00051455 ,  0.00051385 ,  6.88e-08 ,  1.1639
DataValue ,  -0.00051595 ,  0.0005147 ,  6.906e-08 ,  1.1634
DataValue ,  -0.0005203 ,  0.0005202 ,  6.881e-08 ,  0.0277
DataValue ,  -0.00051725 ,  0.0005169 ,  6.9035e-08 ,  1.1637
DataValue ,  -0.000517 ,  0.0005171 ,  6.926e-08 ,  1.163
DataValue ,  -0.0005188 ,  0.0005187 ,  6.904e-08 ,  0.0292
DataValue ,  -0.00051785 ,  0.000518 ,  6.926e-08 ,  0.0277
DataValue ,  -0.0005142 ,  0.0005143 ,  6.9455e-08 ,  1.1618
DataValue ,  -0.0005154 ,  0.00051515 ,  6.939e-08 ,  1.164
DataValue ,  -0.00051875 ,  0.00052005 ,  6.9475e-08 ,  0.0287
DataValue ,  -0.00051825 ,  0.00051825 ,  6.931e-08 ,  0.0262
DataValue ,  -0.00051625 ,  0.0005159 ,  6.93e-08 ,  1.1628
DataValue ,  -0.000519 ,  0.00051745 ,  6.9015e-08 ,  0.0271
DataValue ,  -0.0005157 ,  0.00051565 ,  6.919e-08 ,  1.1594
DataValue ,  -0.00051675 ,  0.00051685 ,  6.92e-08 ,  0.028
DataValue ,  -0.0005152 ,  0.00051505 ,  6.8895e-08 ,  1.1609
DataValue ,  -0.00051625 ,  0.0005156 ,  6.9215e-08 ,  0.0271
DataValue ,  -0.0005151 ,  0.00051455 ,  6.92e-08 ,  1.1631
DataValue ,  -0.0005182 ,  0.00051845 ,  6.9345e-08 ,  0.0265
DataValue ,  -0.00051765 ,  0.00051825 ,  6.939e-08 ,  0.0264
DataValue ,  -0.00051765 ,  0.00051745 ,  6.924e-08 ,  0.0279
DataValue ,  -0.0005162 ,  0.0005164 ,  6.9375e-08 ,  0.0298
DataValue ,  -0.0005167 ,  0.00051625 ,  6.939e-08 ,  0.0277
DataValue ,  -0.0005175 ,  0.00051665 ,  6.9045e-08 ,  0.0276
DataValue ,  -0.00051585 ,  0.0005155 ,  6.9055e-08 ,  0.028
DataValue ,  -0.0005181 ,  0.0005177 ,  6.919e-08 ,  0.0277
